,state,county_name,confirmed,confirmed_per_100000,deaths,recorded_date
0,North Carolina,Wake,4675,446.7,46,2020-06-28
1,Virginia,Chesterfield,2842,837.24,49,2020-06-28
2,North Carolina,Wake,4797,458.36,46,2020-06-28
3,South Carolina,Greenville,4546,912.12,80,2020-06-28
4,North Carolina,Durham,3532,1152.53,63,2020-06-28
5,South Carolina,Richland,3192,781.85,80,2020-06-28
6,South Carolina,Charleston,3142,796.03,22,2020-06-28
7,North Carolina,Forsyth,2871,772.66,34,2020-06-28
8,South Carolina,Horry,2803,873.44,44,2020-06-28
9,South Carolina,Lexington,1846,644.74,47,2020-06-28
10,North Carolina,Brunswick,459,361.82,4,2020-06-28
11,Ohio,Franklin,8694,681.7,392,2020-06-28
12,Ohio,Clark,722,534.03,8,2020-06-28
13,Ohio,Licking,371,215.33,11,2020-06-28
14,California,Los Angeles,93391,924.84,3269,2020-06-28
15,Ohio,Franklin,8511,667.36,383,2020-06-28
16,North Carolina,Wake,4551,434.85,45,2020-06-28
17,South Carolina,Greenville,4391,881.02,78,2020-06-28
18,North Carolina,Durham,3451,1126.1,62,2020-06-28
19,South Carolina,Richland,3064,750.5,80,2020-06-28
20,South Carolina,Charleston,2861,724.84,22,2020-06-28
21,North Carolina,Forsyth,2788,750.32,33,2020-06-28
22,Virginia,Chesterfield,2784,820.16,49,2020-06-28
23,South Carolina,Horry,2582,804.57,42,2020-06-28
24,South Carolina,Lexington,1775,619.94,45,2020-06-28
25,Ohio,Clark,712,526.64,8,2020-06-28
26,North Carolina,Brunswick,440,346.84,4,2020-06-28
27,Ohio,Licking,358,207.79,11,2020-06-28
28,California,Los Angeles,95385,944.59,3285,2020-06-28
29,Ohio,Franklin,8840,693.15,393,2020-06-28
30,North Carolina,Wake,4816,460.18,46,2020-06-28
31,South Carolina,Greenville,4741,951.24,80,2020-06-28
32,North Carolina,Durham,3571,1165.25,63,2020-06-28
33,South Carolina,Charleston,3381,856.58,23,2020-06-28
34,South Carolina,Richland,3285,804.63,81,2020-06-28
35,South Carolina,Horry,2987,930.78,44,2020-06-28
36,North Carolina,Forsyth,2935,789.89,34,2020-06-28
37,Virginia,Chesterfield,2856,841.37,49,2020-06-28
38,South Carolina,Lexington,1901,663.95,48,2020-06-28
39,Ohio,Clark,727,537.73,8,2020-06-28
40,North Carolina,Brunswick,479,377.58,4,2020-06-28
41,Ohio,Licking,381,221.13,11,2020-06-28
42,North Carolina,Wake,4675,446.7,46,2020-06-29
43,Virginia,Chesterfield,2842,837.24,49,2020-06-29
44,North Carolina,Wake,4797,458.36,46,2020-06-29
45,South Carolina,Greenville,4546,912.12,80,2020-06-29
46,North Carolina,Durham,3532,1152.53,63,2020-06-29
47,South Carolina,Richland,3192,781.85,80,2020-06-29
48,South Carolina,Charleston,3142,796.03,22,2020-06-29
49,North Carolina,Forsyth,2871,772.66,34,2020-06-29
50,South Carolina,Horry,2803,873.44,44,2020-06-29
51,South Carolina,Lexington,1846,644.74,47,2020-06-29
52,North Carolina,Brunswick,459,361.82,4,2020-06-29
53,Ohio,Franklin,8694,681.7,392,2020-06-29
54,Ohio,Clark,722,534.03,8,2020-06-29
55,Ohio,Licking,371,215.33,11,2020-06-29
56,California,Los Angeles,93391,924.84,3269,2020-06-29
57,Ohio,Franklin,8511,667.36,383,2020-06-29
58,North Carolina,Wake,4551,434.85,45,2020-06-29
59,South Carolina,Greenville,4391,881.02,78,2020-06-29
60,North Carolina,Durham,3451,1126.1,62,2020-06-29
61,South Carolina,Richland,3064,750.5,80,2020-06-29
62,South Carolina,Charleston,2861,724.84,22,2020-06-29
63,North Carolina,Forsyth,2788,750.32,33,2020-06-29
64,Virginia,Chesterfield,2784,820.16,49,2020-06-29
65,South Carolina,Horry,2582,804.57,42,2020-06-29
66,South Carolina,Lexington,1775,619.94,45,2020-06-29
67,Ohio,Clark,712,526.64,8,2020-06-29
68,North Carolina,Brunswick,440,346.84,4,2020-06-29
